№;Предмет; Стоимость; Вес; Описание
1;Абак; (money:: (money::2 зм. $% 100). $% 100);2 фнт.; 
2;Алхимический огонь (фляга); (money::(money::50 зм. $% 100). $% 100); 1 фнт.;(modalinfo::Алхимический огонь.$% Эта вязкая и клейкая жидкость воспламеняется при контакте с воздухом. Вы можете действием метнуть фляжку на расстояние до 20 футов, разбив её от удара. Совершите дальнобойную атаку по существу или предмету, считая алхимический огонь импровизированным оружием. При попадании цель получает урон огнём 1к4 в начале каждого своего хода. Существо может окончить этот урон, потратив действие на тушение пламени, и совершив проверку Ловкости со Сл 10.$% Советы опытного Джо)
3;Блок и лебёдка; (money::(money::1 зм. $% 100). $% 100); 5 фнт.;(modalinfo::Блок и лебёдка.$% Набор блоков и тросов с крюками для подвешивания предметов. Блок и лебёдка позволяют вам поднять в четыре раза больше, чем обычно.$%Скоро
4;Арбалетные болты (20) (Боеприпасы);  (money::(money::1 зм. $% 100). $% 100); 1,5 фнт.;
5;Иглы для трубки (50) (Боеприпасы); (money::(money::1 зм. $% 100). $% 100); 1 фнт.;
6;Снаряды для пращи (20) (Боеприпасы); (money::4 мм. $% 1); 1,5 фнт.;
7;Стрелы (20) (Боеприпасы); (money::1 зм. $% 100); 1 фнт.;
8;Бочка; (money::2 зм. $% 100); 70 фнт.;
9;Бумага (один лист); (money::(money::2 см. $% 10). $% 10); —;
10;Бурдюк; (money::2 см. $% 10); 5 фнт. (полн.);
11;Бутылка, стеклянная; (money::2 зм. $% 100); 2 фнт.;
12;Ведро; (money::5 мм. $% 1); 2 фнт.;
13;Верёвка пеньковая (50 футов); (money::1 зм. $% 100); 10 фнт.; (modalinfo::Верёвка.$% У верёвки, сделанной из пеньки или шёлка, 2 хита, и её можно порвать проверкой Силы со Сл 17. $%Скоро)
14;Верёвка, шёлковая (50 футов); (money::10 зм. $% 100); 5 фнт.; (modalinfo::Верёвка.$% У верёвки, сделанной из пеньки или шёлка, 2 хита, и её можно порвать проверкой Силы со Сл 17. $%Скоро)
15;Весы, торговые; (money::5 зм. $% 100); 3 фнт.; (modalinfo::Весы, торговые.$% В набор входят рычажные весы,чашки и набор грузиков на 2 фунта. С их помощьюможно точно измерять вес небольших предметов,таких как драгоценные металлы или товары.$%Скоро)
16;Воск; (money::5 см. $% 10); —;
17;Горшок, железный; (money::2 зм. $% 100); 10 фнт.;
18;Духи (флакон); (money::5 зм. $% 100); —;
19;Замок; (money::10 зм. $% 100); 1 фнт.; (modalinfo::Замок.$% Вместе с замком идёт и ключ. Безключа существо, владеющее воровскими инструментами, может вскрыть замок успешной проверкой Ловкости со Сл 15. Мастер может решить, что есть более качественные замки, стоящие больше.$%Скоро)
20;Зелье лечения; (money::50 зм. $% 100); 0,5 фнт.;(modalinfo::Зелье лечения.$% Существо, выпившее магическую красную жидкость из этого флакона, восстанавливает 2к4 + 2 хита. Зелье выпивается или заливается в рот другому действием. $%Скоро)
21;Зеркало, стальное; (money::5 зм. $% 100); 0,5 фнт.;
22;Калтропы (20 штук в сумке); (money::1 зм. $% 100); 2 фнт.;(modalinfo::Калтропы.$% Вы можете действием рассыпать сумку калтропов по площади в 5 × 5 футов. Все существа, входящие в эту область, должны преуспеть в спасброске Ловкости со Сл 15, иначе они останавливаются и получают колющий урон 1. Пока это существо не восстановит как минимум 1 хит, его скорость ходьбы уменьшена на 10 футов. Существо, перемещающееся по этой области с уменьшенной вдвое скоростью, не обязано совершать спасбросок. $%Скоро)
23;Кандалы; (money::2 зм. $% 100); 6 фнт.;(modalinfo::Кандалы.$% Эти металлические оковы удерживают существ Маленького и Среднего размера. Для того чтобы сбежать из кандалов, требуется успешная проверка Ловкости со Сл 20. Для того чтобы их сломать, требуется проверка Силы со Сл 20. Каждый набор кандалов идёт с одним ключом. Без ключа существо, владеющее воровскими инструментами, может вскрыть замок кандалов успешной проверкой Ловкости со Сл 15. У кандалов 15 хитов. $%Скоро)
